lat,lng
38.76,-82.95
39.8,-84.25
39.93,-83.83
38.52,-75.05
33.64,-112.13
38.61,-75.2
33.6,-112.03
33.6,-112.03
34.55,-114.35
32.97,-114.46
33.56,-112.13
33.4,-110.78
33.41,-112.06
34.11,-110.93
38.74,-75.17
33.2,-111.52
33.51,-112.14
38.59,-75.12
32.72,-114.63
33.4,-112.03
33.4,-112.04
38.78,-75.32
33.5,-112.19
32.99,-110.77
34.31,-110.25
33.87,-111.86
35.26,-112.19
33.41,-111.55
33.42,-110.77
33.63,-111.96
33.45,-112.1
33.57,-112.06
33.57,-112.06
34.36,-110
40.71,-116.11
47.33,-118.69
47.67,-117.45
46.4,-117.04
33.39,-104.55
47.43,-117.38
46.32,-117.98
42.94,-114.4
46.32,-111.52
42.84,-106.37
47.54,-116.18
47.54,-116.19
47.57,-122.66
45.31,-107.93
47.21,-122.41
47.53,-116.24
48.19,-114.32
47.5,-111.32
47.39,-110.92
42.84,-106.37
33.42,-104.51
36.11,-115.06
36.48,-106.44
36.09,-106.15
48.49,-122.63
44.25,-116.96
35.57,-105.22
36.2,-115.16
42.73,-114.52
46.68,-112.03
34.41,-103.22
36.56,-105.11
45.47,-122.59
33.39,-104.52
47.21,-122.47
41.34,-105.58
35.15,-107.87
35.38,-103.42
42.2,-111.44
34.41,-103.22
35.99,-106.06
38.28,-104.58
42.96,-109.78
37.53,-112.67
34.22,-103.33
34.17,-103.34
39.32,-110.97
40.74,-111.89
34.41,-103.2
37.7,-113.17
41.87,-106.56
43.49,-110.86
47.54,-116.24
45.22,-112.63
42.86,-106.31
41.29,-105.6
47.3,-117.98
48.88,-115.05
47.98,-116.56
48.34,-117.3
48.15,-114.11
43.06,-116.66
39.48,-119.78
44.67,-124.05
32.8,-79.87
36.16,-86.87
40.23,-74.75
41.72,-86.24
30.02,-90.1
30.45,-90.19
29.82,-90.47
29.96,-90.12
29.9,-90.15
47.65,-117.26
29.98,-90.17
33.36,-79.28
34.01,-82.51
35.03,-79.7
33.82,-78.69
34.61,-85.92
32.41,-87.03
31.02,-87.5
34.25,-110.04
33.59,-112.23
32.98,-111.52
34.54,-112.22
30.04,-89.99
45.5,-122.53
32.83,-117.26
33.57,-112.08
33.46,-112.14
33.5,-112.08
41.56,-72.23
32,-81.11
